station_id;place_name;address;city;country;type;latitude;longitude;weights
3001;The Colosseum;Piazza del Colosseo, 1, 00184 Roma RM;Rome;Italy;Building;41.890542;12.492317;3
3002;The Pantheon;Piazza della Rotonda, 00186 Roma RM;Rome;Italy;Building;;;3
3003;Trevi Fountain;Piazza di Trevi, 00187 Roma RM;Rome;Italy;Building;;;3
3004;Altare della patria;Piazza di S. Marco, 4289, 00186 Roma RM;Rome;Italy;Building;41.894576;12.483123;2
3005;Spanish Steps;Piazza della Trinità dei Monti, 00187 Roma RM;Rome;Italy;Building;;;0.9
3006;Arch of Constantine;Via di San Gregorio, 00186 Roma RM;Rome;Italy;Building;41.889737;12.490887;2
3007;Castel Sant'Angelo;Lungotevere Castello, 50, 00193 Roma RM;Rome;Italy;Building;;;3
3008;Palazzo Doria Pamphilj;Via del Corso, 305, 00186 Roma RM;Rome;Italy;Building;;;0.7
3009;Catacombs of Domitilla;Via delle Sette Chiese, 282, 00147 Roma RM;Rome;Italy;Building;;;0.6
3010;Circo Massimo;Via del Circo Massimo, 00186 Roma RM;Rome;Italy;Building;;;1.5
3011;Pyramid of Caius Cestius;Via Raffaele Persichetti, 00153 Roma RM;Rome;Italy;Building;;;0.7
3012;Santa Maria Maggiore;P.za di Santa Maria Maggiore, 00100 Roma RM;Rome;Italy;Church;;;2
3013;St. Peter's Basilica;Piazza San Pietro, 00120 Città del Vaticano, Ciudad del Vaticano;Rome;Italy;Church;;;2.5
3014;Basilica of St. John Lateran;Piazza di S. Giovanni in Laterano, 4, 00184 Roma RM;Rome;Italy;Church;;;1.5
3015;Church of San Clemente;Via Labicana, 95, 00184 Roma RM;Rome;Italy;Church;;;1
3016;Intrastevere;Vicolo Moroni, 3, 00153 Roma RM;Rome;Italy;Cinema;;;0.5
3017;Cinema Nuovo Olimpia;Via in Lucina, 16, 00186 Roma RM;Rome;Italy;Cinema;;;0.5
3018;Cinema Adriano;Piazza Cavour, 22, 00193 Roma RM;Rome;Italy;Cinema;;;0.6
3019;Cinema Europa;Corso d'Italia, 107, 00198 Roma RM;Rome;Italy;Cinema;;;0.4
3020;Cinema Quattro Fontane;Via delle Quattro Fontane, 23, 00184 Roma RM;Rome;Italy;Cinema;;;0.5
